PassengerId,Survived,Sex,Age,Fare,PassengerClass1,PassengerClass2,PassengerClass3,Family_size,Mr,Mrs,Master,Miss,Emb_1,Emb_2,Emb_3
1,0,1,0.275,0.014151058,0,0,1,0.1,1,0,0,0,0,0,1
2,1,0,0.475,0.139135735,1,0,0,0.1,1,0,0,0,1,0,0
3,1,0,0.325,0.01546857,0,0,1,0,0,0,0,1,0,0,1
4,1,0,0.4375,0.103644297,1,0,0,0.1,1,0,0,0,0,0,1
5,0,1,0.4375,0.015712554,0,0,1,0,1,0,0,0,0,0,1
6,0,1,0.35,0.016509502,0,0,1,0,1,0,0,0,0,1,0
7,0,1,0.675,0.101228858,1,0,0,0,1,0,0,0,0,0,1
8,0,1,0.025,0.04113566,0,0,1,0.4,0,0,1,0,0,0,1
9,1,0,0.3375,0.021730754,0,0,1,0.2,1,0,0,0,0,0,1
10,1,0,0.175,0.058694293,0,1,0,0.1,1,0,0,0,1,0,0
11,1,0,0.05,0.032596229,0,0,1,0.2,0,0,0,1,0,0,1
12,1,0,0.725,0.051822149,1,0,0,0,0,0,0,1,0,0,1
13,0,1,0.25,0.015712554,0,0,1,0,1,0,0,0,0,0,1
14,0,1,0.4875,0.061044735,0,0,1,0.6,1,0,0,0,0,0,1
15,0,0,0.175,0.015330377,0,0,1,0,0,0,0,1,0,0,1
16,1,0,0.6875,0.03122992,0,1,0,0,1,0,0,0,0,0,1
17,0,1,0.025,0.056848214,0,0,1,0.5,0,0,1,0,0,1,0
18,1,1,0.35,0.02537431,0,1,0,0,1,0,0,0,0,0,1
19,0,0,0.3875,0.03513366,0,0,1,0.1,1,0,0,0,0,0,1
20,1,0,0.35,0.014102261,0,0,1,0,1,0,0,0,1,0,0
21,0,1,0.4375,0.05074862,0,1,0,0,1,0,0,0,0,0,1
22,1,1,0.425,0.02537431,0,1,0,0,1,0,0,0,0,0,1
23,1,0,0.1875,0.015671955,0,0,1,0,0,0,0,1,0,1,0
24,1,1,0.35,0.069291385,1,0,0,0,1,0,0,0,0,0,1
25,0,0,0.1,0.04113566,0,0,1,0.4,0,0,0,1,0,0,1
26,1,0,0.475,0.06126432,0,0,1,0.6,1,0,0,0,0,0,1
27,0,1,0.35,0.014102261,0,0,1,0,1,0,0,0,1,0,0
28,0,1,0.2375,0.513341812,1,0,0,0.5,1,0,0,0,0,0,1
29,1,0,0.35,0.015379174,0,0,1,0,0,0,0,1,0,1,0
